count,Бренд,Предмет,Номенклатура,Код размера (chrt_id),Артикул поставщика,Артикул ИМТ,Артикул Цвета,Размер,Баркод,Розничная цена руб.,Комплектация
3,Байрамали,Простыни,8178167,27862805,4833001530087/ярко-зеленый,4833001530087/,ярко-зеленый,0,48330015300882,1690,
3,Байрамали,Простыни,8330095,28299494,4833001530094/светло-голубой,4833001530094/,светло-голубой,0,48330015300948,1990,
3,Байрамали,Простыни,8330095,28299494,4833001530094/персиковый,4833001530094/,персиковый,0,48330015300962,1990,
12,Байрамали,Полотенца банные,10210387,33230302,BRT140KIT70/белый,BRT140KIT70/,белый,0,48330015301641,1150,
12,Байрамали,Полотенца банные,9821503,32300345,BRT140KIT70/персиковый,BRT140KIT70/,персиковый,0,48330015301638,1150,
12,Байрамали,Полотенца банные,9821504,32300346,BRT70KIT70/персиковый,BRT70KIT70/,персиковый,0,48330015301739,731,
12,Байрамали,Полотенца банные,9821505,32300347,BRT70KIT70/розовый,BRT70KIT70/,розовый,0,48330015301740,731,
12,Байрамали,Полотенца банные,9821506,32300348,BRT70KIT70/оранжевый,BRT70KIT70/,оранжевый,0,48330015301738,731,
12,Байрамали,Полотенца банные,9821507,32300349,BRT70KIT70/темно-оливковый,BRT70KIT70/,темно-оливковый,0,48330015301742,731,
12,Байрамали,Полотенца банные,9821508,32300350,BRT70KIT70/светло-голубой,BRT70KIT70/,светло-голубой,0,48330015301741,731,
