article,count,price
Полотенце 50 х90 белое (itu),25,77.0
Полотенце 50 х90 васильковый (itu),25,77.0
Полотенце 50 х90 желтый(itu),25,77.0
Полотенце 50 х90 зеленый (itu),25,77.0
Полотенце 50 х90 лимонный (itu),25,77.0
Полотенце 50 х90 оранжевый (itu),25,77.0
Полотенце 50 х90 персиковый (itu),25,77.0
Полотенце 50 х90 светло-голубой (itu),25,77.0
Полотенце 50 х90 светло-зеленый (itu),25,77.0
Полотенце 50 х90 темно-оливковый (itu),25,77.0
Полотенце 70 х140 белое (itu),25,168.0
Полотенце 70 х140 голубой (itu),25,168.0
Полотенце 70 х140 зеленый (itu),25,168.0
Полотенце 70 х140 лимонный (itu),25,168.0
Полотенце 70 х140 малиновый (itu),25,168.0
Полотенце 70 х140 персиковый (itu),25,168.0
Полотенце 70 х140 розовый (itu),25,168.0
Полотенце 70 х140 светло-кремовый (itu),25,168.0
Полотенце 70 х140 шоколад (itu),25,168.0
